Number,Location,Site,Sitename,Sitenumber,Habitat,Date,Depth,Dimension,Loc_abbrev,ID_number,ID,Family,Genus,Species,Tax,SL,TL,W,Full_ID,Lat,Long,Notes,Genspe,MaxSizeTL,Diet,Schooling,Movimentation,sstmean
444,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,386,UAE18386,Gobiidae,Eviota,guttata,EVIOGUTT,18.5,22.5,0.132,UAE18386_EVIOGUTT_18.5,25.49182,56.36369,Vial,Evi. guttata,3.2,InvMob,Solitr,BnthDw,28.25
445,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,387,UAE18387,Gobiidae,Eviota,punyit,EVIOPUNY,20.3,23.4,0.146,UAE18387_EVIOPUNY_20.3,25.49182,56.36369,Vial,Evi. punyit,1.8,InvMob,Solitr,BnthDw,28.25
446,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,388,UAE18388,Gobiidae,Eviota,guttata,EVIOGUTT,21.2,26.5,0.223,UAE18388_EVIOGUTT_21.2,25.49182,56.36369,Vial,Evi. guttata,3.2,InvMob,Solitr,BnthDw,28.25
447,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,389,UAE18389,Gobiidae,Eviota,guttata,EVIOGUTT,18.9,23.8,0.158,UAE18389_EVIOGUTT_18.9,25.49182,56.36369,Vial,Evi. guttata,3.2,InvMob,Solitr,BnthDw,28.25
448,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,390,UAE18390,Gobiidae,Eviota,guttata,EVIOGUTT,18.6,22.8,0.121,UAE18390_EVIOGUTT_18.6,25.49182,56.36369,Vial,Evi. guttata,3.2,InvMob,Solitr,BnthDw,28.25
449,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,391,UAE18391,Gobiidae,Eviota,guttata,EVIOGUTT,19.6,24.8,0.165,UAE18391_EVIOGUTT_19.6,25.49182,56.36369,Vial,Evi. guttata,3.2,InvMob,Solitr,BnthDw,28.25
450,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,392,UAE18392,Syngnathidae,Corythoichthys,speA,CORYSPEA,74.2,77.2,0.263,UAE18392_CORYSPEA_74.2,25.49182,56.36369,Comm,Cor. speA,12,InvMob,Pairng,BnthDw,28.25
451,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,393,UAE18393,Syngnathidae,Corythoichthys,speA,CORYSPEA,70,73.2,0.215,UAE18393_CORYSPEA_70,25.49182,56.36369,UAE-jar,Cor. speA,12,InvMob,Pairng,BnthDw,28.25
452,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,394,UAE18394,Blenniidae,Antennablennius,speA,ANTESPEA,27.7,32.5,0.318,UAE18394_ANTESPEA_27.7,25.49182,56.36369,Vial,Ant. speA,5,HerDet,Solitr,BnthDw,28.25
453,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,395,UAE18395,Blenniidae,Antennablennius,speA,ANTESPEA,21.3,25.3,0.197,UAE18395_ANTESPEA_21.3,25.49182,56.36369,Vial,Ant. speA,5,HerDet,Solitr,BnthDw,28.25
454,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,396,UAE18396,Tripterygiidae,Helcogramma,fuscopinna,HELCFUSC,22.9,27.8,0.208,UAE18396_HELCFUSC_22.9,25.49182,56.36369,Vial,Hel. fuscopinna,3.8,InvMob,Solitr,BnthDw,28.25
455,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,397,UAE18397,Gobiidae,Gnatholepis,speA,GNATSPEA,22.4,27.6,0.194,UAE18397_GNATSPEA_22.4,25.49182,56.36369,Vial,Gna. speA,6,InvMob,Solitr,BnthDw,28.25
456,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,398,UAE18398,Tripterygiidae,Helcogramma,fuscopinna,HELCFUSC,19.8,24.1,0.154,UAE18398_HELCFUSC_19.8,25.49182,56.36369,Vial,Hel. fuscopinna,3.8,InvMob,Solitr,BnthDw,28.25
457,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,399,UAE18399,Blenniidae,Antennablennius,speA,ANTESPEA,20.8,24.6,0.17,UAE18399_ANTESPEA_20.8,25.49182,56.36369,Vial,Ant. speA,5,HerDet,Solitr,BnthDw,28.25
458,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,400,UAE18400,Gobiidae,Hetereleotris,vulgaris,HETEVULG,23.4,26.1,0.243,UAE18400_HETEVULG_23.4,25.49182,56.36369,Vial,Het. vulgaris,4,InvMob,Solitr,BnthDw,28.25
459,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,401,UAE18401,Gobiidae,Hetereleotris,vulgaris,HETEVULG,19.1,23.5,0.163,UAE18401_HETEVULG_19.1,25.49182,56.36369,Vial,Het. vulgaris,4,InvMob,Solitr,BnthDw,28.25
460,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,402,UAE18402,Gobiidae,Hetereleotris,vulgaris,HETEVULG,20.8,26,0.202,UAE18402_HETEVULG_20.8,25.49182,56.36369,Vial,Het. vulgaris,4,InvMob,Solitr,BnthDw,28.25
461,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,403,UAE18403,Gobiidae,Hetereleotris,vulgaris,HETEVULG,20.5,24.9,0.191,UAE18403_HETEVULG_20.5,25.49182,56.36369,Vial,Het. vulgaris,4,InvMob,Solitr,BnthDw,28.25
462,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,404,UAE18404,Gobiidae,Hetereleotris,vulgaris,HETEVULG,27.5,34,0.477,UAE18404_HETEVULG_27.5,25.49182,56.36369,Vial,Het. vulgaris,4,InvMob,Solitr,BnthDw,28.25
463,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,405,UAE18405,Gobiidae,Hetereleotris,vulgaris,HETEVULG,17,20.5,0.112,UAE18405_HETEVULG_17,25.49182,56.36369,Vial,Het. vulgaris,4,InvMob,Solitr,BnthDw,28.25
464,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,406,UAE18406,Gobiidae,Eviota,guttata,EVIOGUTT,20,24.9,0.171,UAE18406_EVIOGUTT_20,25.49182,56.36369,Vial,Evi. guttata,3.2,InvMob,Solitr,BnthDw,28.25
465,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,407,UAE18407,Tripterygiidae,Helcogramma,fuscopinna,HELCFUSC,21.1,25,0.169,UAE18407_HELCFUSC_21.1,25.49182,56.36369,Vial,Hel. fuscopinna,3.8,InvMob,Solitr,BnthDw,28.25
466,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,408,UAE18408,Gobiidae,Coryogalops,anomalus,CORYANOM,18.8,23.4,0.136,UAE18408_CORYANOM_18.8,25.49182,56.36369,Vial,Cor. anomalus,5.8,InvMob,Solitr,BnthDw,28.25
467,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,409,UAE18409,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,20.4,23.9,0.209,UAE18409_ENNEVENT_20.4,25.49182,56.36369,Vial,Enn. ventermaculus,4,InvMob,Solitr,BnthDw,28.25
468,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,410,UAE18410,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,19.9,24.9,0.281,UAE18410_ENNEVENT_19.9,25.49182,56.36369,Vial,Enn. ventermaculus,4,InvMob,Solitr,BnthDw,28.25
469,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,411,UAE18411,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,18.7,24.1,0.136,UAE18411_ENNEVENT_18.7,25.49182,56.36369,Vial,Enn. ventermaculus,4,InvMob,Solitr,BnthDw,28.25
470,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,412,UAE18412,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,19.9,24.5,0.175,UAE18412_ENNEVENT_19.9,25.49182,56.36369,Vial,Enn. ventermaculus,4,InvMob,Solitr,BnthDw,28.25
471,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,413,UAE18413,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,19.9,24,0.175,UAE18413_ENNEVENT_19.9,25.49182,56.36369,Vial,Enn. ventermaculus,4,InvMob,Solitr,BnthDw,28.25
472,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,414,UAE18414,Muraenidae,Gymnothorax,speA,GYMNSPEA,98,98,1.09,UAE18414_GYMNSPEA_98,25.49182,56.36369,Comm,Gym. speA,59.5,InvMob,Solitr,BnthDw,28.25
473,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,16.7,21,0.097,UAE18---_ENNEVENT_16.7,25.49182,56.36369,NPNT-Lot,Enn. ventermaculus,4,InvMob,Solitr,BnthDw,28.25
474,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,18.1,21.6,0.129,UAE18---_ENNEVENT_18.1,25.49182,56.36369,NPNT-Lot,Enn. ventermaculus,4,InvMob,Solitr,BnthDw,28.25
475,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,17.1,20,0.109,UAE18---_ENNEVENT_17.1,25.49182,56.36369,NPNT-Lot,Enn. ventermaculus,4,InvMob,Solitr,BnthDw,28.25
476,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,18.3,23.2,0.136,UAE18---_ENNEVENT_18.3,25.49182,56.36369,NPNT-Lot,Enn. ventermaculus,4,InvMob,Solitr,BnthDw,28.25
477,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,18.6,22.3,0.137,UAE18---_ENNEVENT_18.6,25.49182,56.36369,NPNT-Lot,Enn. ventermaculus,4,InvMob,Solitr,BnthDw,28.25
478,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,17.9,20.6,0.111,UAE18---_ENNEVENT_17.9,25.49182,56.36369,NPNT-Lot,Enn. ventermaculus,4,InvMob,Solitr,BnthDw,28.25
479,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,16.5,20.1,0.102,UAE18---_ENNEVENT_16.5,25.49182,56.36369,NPNT-Lot,Enn. ventermaculus,4,InvMob,Solitr,BnthDw,28.25
480,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,25,32.7,0.352,UAE18---_HETEVULG_25,25.49182,56.36369,NPNT-Lot,Het. vulgaris,4,InvMob,Solitr,BnthDw,28.25
481,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,22.8,28.7,0.279,UAE18---_HETEVULG_22.8,25.49182,56.36369,NPNT-Lot,Het. vulgaris,4,InvMob,Solitr,BnthDw,28.25
482,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,18.5,23.6,0.157,UAE18---_HETEVULG_18.5,25.49182,56.36369,NPNT-Lot,Het. vulgaris,4,InvMob,Solitr,BnthDw,28.25
483,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,19.1,24.6,0.185,UAE18---_HETEVULG_19.1,25.49182,56.36369,NPNT-Lot,Het. vulgaris,4,InvMob,Solitr,BnthDw,28.25
484,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,16.4,20,0.105,UAE18---_HETEVULG_16.4,25.49182,56.36369,NPNT-Lot,Het. vulgaris,4,InvMob,Solitr,BnthDw,28.25
485,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,16.1,20.2,0.095,UAE18---_HETEVULG_16.1,25.49182,56.36369,NPNT-Lot,Het. vulgaris,4,InvMob,Solitr,BnthDw,28.25
486,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,415,UAE18415,Ostraciidae,Ostracion,cubicus,OSTRCUBI,65.2,80.3,19,UAE18415_OSTRCUBI_65.2,25.49182,56.36369,Comm,Ost. cubicus,45,Omnivr,Solitr,BnthDw,28.25
487,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,416,UAE18416,Ostraciidae,Ostracion,cubicus,OSTRCUBI,51.4,64.5,9.662,UAE18416_OSTRCUBI_51.4,25.49182,56.36369,Comm,Ost. cubicus,45,Omnivr,Solitr,BnthDw,28.25
488,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,417,UAE18417,Blenniidae,Ecsenius,pulcher,ECSEPULC,33,40.7,0.749,UAE18417_ECSEPULC_33,25.49182,56.36369,Comm,Ecs. pulcher,11,HerDet,Solitr,BnthDw,28.25
489,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,418,UAE18418,Blenniidae,Ecsenius,pulcher,ECSEPULC,51.8,65,1.992,UAE18418_ECSEPULC_51.8,25.49182,56.36369,Comm,Ecs. pulcher,11,HerDet,Solitr,BnthDw,28.25
490,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,419,UAE18419,Blenniidae,Ecsenius,pulcher,ECSEPULC,34.1,42.4,0.79,UAE18419_ECSEPULC_34.1,25.49182,56.36369,Comm,Ecs. pulcher,11,HerDet,Solitr,BnthDw,28.25
491,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,420,UAE18420,Blenniidae,Ecsenius,pulcher,ECSEPULC,40,53.5,1.09,UAE18420_ECSEPULC_40,25.49182,56.36369,Comm,Ecs. pulcher,11,HerDet,Solitr,BnthDw,28.25
492,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,421,UAE18421,Blenniidae,Ecsenius,pulcher,ECSEPULC,41.8,52.3,1.338,UAE18421_ECSEPULC_41.8,25.49182,56.36369,Comm,Ecs. pulcher,11,HerDet,Solitr,BnthDw,28.25
493,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,422,UAE18422,Gobiidae,Istigobius,speA,ISTISPEA,37,47.6,1.103,UAE18422_ISTISPEA_37,25.49182,56.36369,Comm,Ist. speA,11,InvMob,Solitr,BnthDw,28.25
494,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,423,UAE18423,Gobiidae,Istigobius,speA,ISTISPEA,36.5,45.4,0.902,UAE18423_ISTISPEA_36.5,25.49182,56.36369,Comm,Ist. speA,11,InvMob,Solitr,BnthDw,28.25
495,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,424,UAE18424,Gobiidae,Istigobius,speA,ISTISPEA,41.9,52.4,1.452,UAE18424_ISTISPEA_41.9,25.49182,56.36369,UAE-jar,Ist. speA,11,InvMob,Solitr,BnthDw,28.25
496,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,425,UAE18425,Gobiidae,Istigobius,speA,ISTISPEA,44.1,56.8,1.679,UAE18425_ISTISPEA_44.1,25.49182,56.36369,Comm,Ist. speA,11,InvMob,Solitr,BnthDw,28.25
497,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,426,UAE18426,Gobiidae,Istigobius,speA,ISTISPEA,44.8,58,1.71,UAE18426_ISTISPEA_44.8,25.49182,56.36369,Comm,Ist. speA,11,InvMob,Solitr,BnthDw,28.25
498,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,427,UAE18427,Gobiidae,Istigobius,speA,ISTISPEA,33.7,43.8,0.728,UAE18427_ISTISPEA_33.7,25.49182,56.36369,Comm,Ist. speA,11,InvMob,Solitr,BnthDw,28.25
499,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,428,UAE18428,Gobiidae,Istigobius,speA,ISTISPEA,28.8,36.2,0.435,UAE18428_ISTISPEA_28.8,25.49182,56.36369,Comm,Ist. speA,11,InvMob,Solitr,BnthDw,28.25
500,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,429,UAE18429,Gobiidae,Istigobius,speA,ISTISPEA,35.8,46.8,0.999,UAE18429_ISTISPEA_35.8,25.49182,56.36369,Comm,Ist. speA,11,InvMob,Solitr,BnthDw,28.25
501,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,430,UAE18430,Apogonidae,Apogon,speA,APOGSPEA,37.3,51.3,1.892,UAE18430_APOGSPEA_37.3,25.49182,56.36369,Comm,Apo. speA,6,InvMob,Solitr,BnthDw,28.25
502,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,431,UAE18431,Apogonidae,Apogon,speA,APOGSPEA,30.9,41.2,0.95,UAE18431_APOGSPEA_30.9,25.49182,56.36369,Comm,Apo. speA,6,InvMob,Solitr,BnthDw,28.25
503,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,432,UAE18432,Apogonidae,Cheilodipterus,novemstriatus,CHEINOVE,38.9,49.9,1.44,UAE18432_CHEINOVE_38.9,25.49182,56.36369,Comm,Che. novemstriatus,8,Plktiv,MedGrp,BnthDw,28.25
504,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,433,UAE18433,Apogonidae,Cheilodipterus,novemstriatus,CHEINOVE,42.6,52.8,1.927,UAE18433_CHEINOVE_42.6,25.49182,56.36369,Comm,Che. novemstriatus,8,Plktiv,MedGrp,BnthDw,28.25
505,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,434,UAE18434,Apogonidae,Ostorhinchus,cyanosoma,OSTOCYAN,30.5,40.7,0.953,UAE18434_OSTOCYAN_30.5,25.49182,56.36369,UAE-jar,Ost. cyanosoma,8,Plktiv,MedGrp,BnthDw,28.25
506,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,435,UAE18435,Apogonidae,Ostorhinchus,cyanosoma,OSTOCYAN,45.8,59.7,2.788,UAE18435_OSTOCYAN_45.8,25.49182,56.36369,Comm,Ost. cyanosoma,8,Plktiv,MedGrp,BnthDw,28.25
507,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,436,UAE18436,Pomacentridae,Neopomacentrus,sindensis,NEOPSIND,35.9,49.4,1.728,UAE18436_NEOPSIND_35.9,25.49182,56.36369,Comm,Neo. sindensis,10,Plktiv,MedGrp,BnthDw,28.25
508,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,437,UAE18437,Pomacentridae,Neopomacentrus,cyanomos,NEOPCYAN,38.3,56,2.098,UAE18437_NEOPCYAN_38.3,25.49182,56.36369,Comm,Neo. cyanomos,10,Plktiv,MedGrp,BnthDw,28.25
509,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,438,UAE18438,Pomacentridae,Neopomacentrus,cyanomos,NEOPCYAN,36.6,52.5,1.85,UAE18438_NEOPCYAN_36.6,25.49182,56.36369,Comm,Neo. cyanomos,10,Plktiv,MedGrp,BnthDw,28.25
510,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,439,UAE18439,Pomacentridae,Neopomacentrus,cyanomos,NEOPCYAN,37.1,54.5,1.905,UAE18439_NEOPCYAN_37.1,25.49182,56.36369,Comm,Neo. cyanomos,10,Plktiv,MedGrp,BnthDw,28.25
511,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,440,UAE18440,Pomacentridae,Neopomacentrus,cyanomos,NEOPCYAN,25.1,34.8,0.642,UAE18440_NEOPCYAN_25.1,25.49182,56.36369,Comm,Neo. cyanomos,10,Plktiv,MedGrp,BnthDw,28.25
512,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,441,UAE18441,Pomacentridae,Neopomacentrus,cyanomos,NEOPCYAN,32.3,46.5,1.478,UAE18441_NEOPCYAN_32.3,25.49182,56.36369,Comm,Neo. cyanomos,10,Plktiv,MedGrp,BnthDw,28.25
513,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,442,UAE18442,Pomacentridae,Neopomacentrus,cyanomos,NEOPCYAN,35.6,50,1.7,UAE18442_NEOPCYAN_35.6,25.49182,56.36369,Comm,Neo. cyanomos,10,Plktiv,MedGrp,BnthDw,28.25
514,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Pomacentridae,Neopomacentrus,miryae,NEOPMIRY,33.6,43.7,1.349,UAE18---_NEOPMIRY_33.6,25.49182,56.36369,NPNT,Neo. miryae,11,Plktiv,MedGrp,BnthDw,28.25
515,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Pomacentridae,Neopomacentrus,miryae,NEOPMIRY,31.6,43.6,1.144,UAE18---_NEOPMIRY_31.6,25.49182,56.36369,NPNT,Neo. miryae,11,Plktiv,MedGrp,BnthDw,28.25
516,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Pomacentridae,Neopomacentrus,miryae,NEOPMIRY,24.7,32.8,0.568,UAE18---_NEOPMIRY_24.7,25.49182,56.36369,NPNT,Neo. miryae,11,Plktiv,MedGrp,BnthDw,28.25
517,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Pomacentridae,Neopomacentrus,miryae,NEOPMIRY,31.7,41.7,1.318,UAE18---_NEOPMIRY_31.7,25.49182,56.36369,NPNT,Neo. miryae,11,Plktiv,MedGrp,BnthDw,28.25
518,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Pomacentridae,Neopomacentrus,miryae,NEOPMIRY,13.5,18.3,0.096,UAE18---_NEOPMIRY_13.5,25.49182,56.36369,NPNT,Neo. miryae,11,Plktiv,MedGrp,BnthDw,28.25
519,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Pomacentridae,Neopomacentrus,miryae,NEOPMIRY,11.1,14.9,0.046,UAE18---_NEOPMIRY_11.1,25.49182,56.36369,NPNT,Neo. miryae,11,Plktiv,MedGrp,BnthDw,28.25
520,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Pomacentridae,Neopomacentrus,miryae,NEOPMIRY,35.4,48.4,1.813,UAE18---_NEOPMIRY_35.4,25.49182,56.36369,NPNT,Neo. miryae,11,Plktiv,MedGrp,BnthDw,28.25
521,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Pomacentridae,Neopomacentrus,miryae,NEOPMIRY,13.8,17.8,0.093,UAE18---_NEOPMIRY_13.8,25.49182,56.36369,NPNT,Neo. miryae,11,Plktiv,MedGrp,BnthDw,28.25
522,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Pomacentridae,Neopomacentrus,miryae,NEOPMIRY,27.4,38,0.835,UAE18---_NEOPMIRY_27.4,25.49182,56.36369,NPNT,Neo. miryae,11,Plktiv,MedGrp,BnthDw,28.25
523,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Pomacentridae,Neopomacentrus,miryae,NEOPMIRY,24.3,32.7,0.569,UAE18---_NEOPMIRY_24.3,25.49182,56.36369,NPNT,Neo. miryae,11,Plktiv,MedGrp,BnthDw,28.25
524,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Pomacentridae,Neopomacentrus,miryae,NEOPMIRY,26.1,33.8,0.686,UAE18---_NEOPMIRY_26.1,25.49182,56.36369,NPNT,Neo. miryae,11,Plktiv,MedGrp,BnthDw,28.25
525,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Pomacentridae,Neopomacentrus,miryae,NEOPMIRY,34.5,48.8,1.692,UAE18---_NEOPMIRY_34.5,25.49182,56.36369,NPNT,Neo. miryae,11,Plktiv,MedGrp,BnthDw,28.25
526,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Pomacentridae,Neopomacentrus,miryae,NEOPMIRY,24.2,31.6,0.53,UAE18---_NEOPMIRY_24.2,25.49182,56.36369,NPNT,Neo. miryae,11,Plktiv,MedGrp,BnthDw,28.25
527,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Pomacentridae,Neopomacentrus,miryae,NEOPMIRY,33.3,44.7,1.469,UAE18---_NEOPMIRY_33.3,25.49182,56.36369,NPNT,Neo. miryae,11,Plktiv,MedGrp,BnthDw,28.25
528,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Pomacentridae,Neopomacentrus,miryae,NEOPMIRY,22.4,29.4,0.425,UAE18---_NEOPMIRY_22.4,25.49182,56.36369,NPNT,Neo. miryae,11,Plktiv,MedGrp,BnthDw,28.25
529,GoO,Snoopy,SnoopyIII,B11,Rockyreef,2/5/18,4.7,285,UAE18,---,UAE18---,Pomacentridae,Neopomacentrus,miryae,NEOPMIRY,13.1,17.7,0.092,UAE18---_NEOPMIRY_13.1,25.49182,56.36369,NPNT,Neo. miryae,11,Plktiv,MedGrp,BnthDw,28.25
