Number,Location,Sitename,Sitenumber,Habitat,Date,Depth,Dimension,Loc_abbrev,ID_number,ID,Family,Genus,Species,Tax,SL,TL,W,Full_ID,Lat,Long,Notes,
291,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,291,UAE18291,Gobiidae,Eviota,punyit,EVIOPUNY,17.1,21.7,0.094,UAE18291_EVIOPUNY_17.1,25.48247,56.36955,Vial,
292,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,292,UAE18292,Gobiidae,Eviota,punyit,EVIOPUNY,18.6,22.3,0.111,UAE18292_EVIOPUNY_18.6,25.48247,56.36955,Vial,
293,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,293,UAE18293,Gobiidae,Eviota,guttata,EVIOGUTT,17.7,21.7,0.119,UAE18293_EVIOGUTT_17.7,25.48247,56.36955,Vial,
294,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,294,UAE18294,Gobiidae,Eviota,guttata,EVIOGUTT,17.8,21.6,0.12,UAE18294_EVIOGUTT_17.8,25.48247,56.36955,Vial,
295,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,295,UAE18295,Gobiidae,Eviota,guttata,EVIOGUTT,16.9,20.9,0.106,UAE18295_EVIOGUTT_16.9,25.48247,56.36955,Vial,
296,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,296,UAE18296,Gobiidae,Eviota,guttata,EVIOGUTT,16.6,21,0.106,UAE18296_EVIOGUTT_16.6,25.48247,56.36955,Vial,
297,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,297,UAE18297,Gobiidae,Eviota,guttata,EVIOGUTT,18.1,21.9,0.133,UAE18297_EVIOGUTT_18.1,25.48247,56.36955,Vial,
298,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,298,UAE18298,Gobiidae,Eviota,guttata,EVIOGUTT,16,18.9,0.076,UAE18298_EVIOGUTT_16,25.48247,56.36955,Vial,
299,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,299,UAE18299,Gobiidae,Eviota,guttata,EVIOGUTT,16.6,20.9,0.095,UAE18299_EVIOGUTT_16.6,25.48247,56.36955,Vial,
300,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,300,UAE18300,Gobiidae,Eviota,guttata,EVIOGUTT,18.4,22.2,0.132,UAE18300_EVIOGUTT_18.4,25.48247,56.36955,Vial,
301,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,301,UAE18301,Gobiidae,Eviota,punyit,EVIOPUNY,18.7,22,0.096,UAE18301_EVIOPUNY_18.7,25.48247,56.36955,Vial,
302,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,302,UAE18302,Gobiidae,Eviota,guttata,EVIOGUTT,16.5,20.6,0.094,UAE18302_EVIOGUTT_16.5,25.48247,56.36955,Vial,
303,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,303,UAE18303,Gobiidae,Eviota,guttata,EVIOGUTT,16.8,20.7,0.096,UAE18303_EVIOGUTT_16.8,25.48247,56.36955,Vial,
304,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,304,UAE18304,Gobiidae,Eviota,guttata,EVIOGUTT,14.6,17.7,0.062,UAE18304_EVIOGUTT_14.6,25.48247,56.36955,Vial,
305,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,305,UAE18305,Gobiidae,Eviota,guttata,EVIOGUTT,15.6,17.9,0.062,UAE18305_EVIOGUTT_15.6,25.48247,56.36955,Vial,
306,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,306,UAE18306,Gobiidae,Eviota,guttata,EVIOGUTT,15,17.3,0.051,UAE18306_EVIOGUTT_15,25.48247,56.36955,Vial,
307,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,307,UAE18307,Gobiidae,Eviota,guttata,EVIOGUTT,10.7,12.8,0.019,UAE18307_EVIOGUTT_10.7,25.48247,56.36955,Vial,
308,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,308,UAE18308,Tripterygiidae,Helcogramma,fuscopinna,HELCFUSC,27.6,33.3,0.401,UAE18308_HELCFUSC_27.6,25.48247,56.36955,Vial,
309,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,309,UAE18309,Tripterygiidae,Helcogramma,fuscopinna,HELCFUSC,28,34.5,0.42,UAE18309_HELCFUSC_28,25.48247,56.36955,Vial,
310,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,310,UAE18310,Tripterygiidae,Helcogramma,fuscopinna,HELCFUSC,24.5,29.8,0.295,UAE18310_HELCFUSC_24.5,25.48247,56.36955,Vial,
311,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,311,UAE18311,Tripterygiidae,Helcogramma,fuscopinna,HELCFUSC,26.9,33,0.324,UAE18311_HELCFUSC_26.9,25.48247,56.36955,Vial,
312,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,312,UAE18312,Tripterygiidae,Helcogramma,fuscopinna,HELCFUSC,23.5,28.9,0.227,UAE18312_HELCFUSC_23.5,25.48247,56.36955,Vial,
313,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,313,UAE18313,Tripterygiidae,Helcogramma,fuscopinna,HELCFUSC,23.8,28.8,0.248,UAE18313_HELCFUSC_23.8,25.48247,56.36955,Vial,
314,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,314,UAE18314,Tripterygiidae,Helcogramma,fuscopinna,HELCFUSC,22.5,27.6,0.197,UAE18314_HELCFUSC_22.5,25.48247,56.36955,Vial,
315,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,315,UAE18315,Tripterygiidae,Helcogramma,fuscopinna,HELCFUSC,20.3,25.3,0.164,UAE18315_HELCFUSC_20.3,25.48247,56.36955,Vial,
316,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,316,UAE18316,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,17.3,21.2,0.105,UAE18316_ENNEVENT_17.3,25.48247,56.36955,Vial,
317,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,317,UAE18317,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,16.9,21.3,0.093,UAE18317_ENNEVENT_16.9,25.48247,56.36955,Vial,
318,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,318,UAE18318,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,16.1,19.7,0.079,UAE18318_ENNEVENT_16.1,25.48247,56.36955,Vial,
319,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,319,UAE18319,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,19.8,23.9,0.165,UAE18319_ENNEVENT_19.8,25.48247,56.36955,Vial,
320,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,320,UAE18320,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,16.7,20.4,0.094,UAE18320_ENNEVENT_16.7,25.48247,56.36955,Vial,
321,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,321,UAE18321,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,19,23.6,0.151,UAE18321_ENNEVENT_19,25.48247,56.36955,Vial,
322,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,322,UAE18322,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,17.1,21.1,0.107,UAE18322_ENNEVENT_17.1,25.48247,56.36955,Vial,
323,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,323,UAE18323,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,17.5,21.3,0.113,UAE18323_ENNEVENT_17.5,25.48247,56.36955,Vial,
324,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,324,UAE18324,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,17.9,21.5,0.103,UAE18324_ENNEVENT_17.9,25.48247,56.36955,Vial,
325,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,325,UAE18325,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,17.7,21.4,0.089,UAE18325_ENNEVENT_17.7,25.48247,56.36955,Vial,
326,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,326,UAE18326,Muraenidae,Gymnothorax,speA,GYMNSPEA,127,127,2.515,UAE18326_GYMNSPEA_127,25.48247,56.36955,Comm,No tag
327,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,327,UAE18327,Gobiidae,Hetereleotris,vulgaris,HETEVULG,24.4,30.5,0.45,UAE18327_HETEVULG_24.4,25.48247,56.36955,Vial,
328,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,328,UAE18328,Gobiidae,Coryogalops,anomalus,CORYANOM,17.7,21.4,0.122,UAE18328_CORYANOM_17.7,25.48247,56.36955,Vial,
329,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,329,UAE18329,Gobiidae,Hetereleotris,vulgaris,HETEVULG,21.6,26.8,0.237,UAE18329_HETEVULG_21.6,25.48247,56.36955,Vial,
330,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,330,UAE18330,Gobiidae,Hetereleotris,vulgaris,HETEVULG,24.8,30.6,0.346,UAE18330_HETEVULG_24.8,25.48247,56.36955,Vial,
331,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,331,UAE18331,Gobiidae,Hetereleotris,vulgaris,HETEVULG,15,18.8,0.078,UAE18331_HETEVULG_15,25.48247,56.36955,Vial,
332,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,332,UAE18332,Gobiidae,Coryogalops,anomalus,CORYANOM,19.6,25.4,0.176,UAE18332_CORYANOM_19.6,25.48247,56.36955,Vial,
333,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,333,UAE18333,Gobiidae,Hetereleotris,vulgaris,HETEVULG,23,29,0.323,UAE18333_HETEVULG_23,25.48247,56.36955,Vial,
334,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,334,UAE18334,Gobiidae,Hetereleotris,vulgaris,HETEVULG,23.2,28.3,0.267,UAE18334_HETEVULG_23.2,25.48247,56.36955,Vial,
335,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,335,UAE18335,Gobiidae,Hetereleotris,vulgaris,HETEVULG,14.11,17.5,0.065,UAE18335_HETEVULG_14.11,25.48247,56.36955,Vial,mottled dorsal
336,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,336,UAE18336,Gobiidae,Coryogalops,anomalus,CORYANOM,21.2,25.9,0.196,UAE18336_CORYANOM_21.2,25.48247,56.36955,Vial,
337,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,337,UAE18337,Gobiidae,Hetereleotris,vulgaris,HETEVULG,19.5,23.9,0.167,UAE18337_HETEVULG_19.5,25.48247,56.36955,Vial,mottled dorsal
338,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,338,UAE18338,Gobiidae,Hetereleotris,vulgaris,HETEVULG,14.1,17.6,0.063,UAE18338_HETEVULG_14.1,25.48247,56.36955,Vial,mottled dorsal
339,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,339,UAE18339,Gobiidae,Coryogalops,anomalus,CORYANOM,16.8,21.4,0.098,UAE18339_CORYANOM_16.8,25.48247,56.36955,Vial,
340,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,340,UAE18340,Gobiidae,Hetereleotris,vulgaris,HETEVULG,25.3,31.1,0.399,UAE18340_HETEVULG_25.3,25.48247,56.36955,Vial,black dorsal
341,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,341,UAE18341,Gobiidae,Hetereleotris,vulgaris,HETEVULG,16.2,19.6,0.08,UAE18341_HETEVULG_16.2,25.48247,56.36955,Vial,mottled dorsal
342,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,342,UAE18342,Gobiidae,Hetereleotris,vulgaris,HETEVULG,22.9,29,0.291,UAE18342_HETEVULG_22.9,25.48247,56.36955,Vial,black dorsal
343,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,343,UAE18343,Gobiidae,Hetereleotris,vulgaris,HETEVULG,15,19.4,0.081,UAE18343_HETEVULG_15,25.48247,56.36955,Vial,mottled dorsal
344,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,344,UAE18344,Gobiidae,Hetereleotris,vulgaris,HETEVULG,18.3,22.7,0.14,UAE18344_HETEVULG_18.3,25.48247,56.36955,Vial,black dorsal
345,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,345,UAE18345,Syngnathidae,Corythoichthys,speA,CORYSPEA,59,61.2,0.103,UAE18345_CORYSPEA_59,25.48247,56.36955,Comm,No tag
346,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,18,22.1,0.115,UAE18---_ENNEVENT_18,25.48247,56.36955,NPNT-Lot,
347,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,19.1,22.9,0.121,UAE18---_ENNEVENT_19.1,25.48247,56.36955,NPNT-Lot,
348,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,18.7,22.8,0.138,UAE18---_ENNEVENT_18.7,25.48247,56.36955,NPNT-Lot,
349,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,16.6,20.7,0.096,UAE18---_ENNEVENT_16.6,25.48247,56.36955,NPNT-Lot,
350,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,18.1,22.5,0.132,UAE18---_ENNEVENT_18.1,25.48247,56.36955,NPNT-Lot,
351,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,16.7,19.9,0.086,UAE18---_ENNEVENT_16.7,25.48247,56.36955,NPNT-Lot,
352,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,16.8,20.6,0.091,UAE18---_ENNEVENT_16.8,25.48247,56.36955,NPNT-Lot,
353,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,16.9,20.8,0.086,UAE18---_ENNEVENT_16.9,25.48247,56.36955,NPNT-Lot,
354,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,15,19.3,0.074,UAE18---_ENNEVENT_15,25.48247,56.36955,NPNT-Lot,
355,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,15.9,19.2,0.085,UAE18---_ENNEVENT_15.9,25.48247,56.36955,NPNT-Lot,
356,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,17.5,21.1,0.106,UAE18---_ENNEVENT_17.5,25.48247,56.36955,NPNT-Lot,
357,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,15.4,18.6,0.065,UAE18---_ENNEVENT_15.4,25.48247,56.36955,NPNT-Lot,
358,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,17.5,21.2,0.098,UAE18---_ENNEVENT_17.5,25.48247,56.36955,NPNT-Lot,
359,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,16,19.3,0.083,UAE18---_ENNEVENT_16,25.48247,56.36955,NPNT-Lot,
360,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,16.9,20.4,0.091,UAE18---_ENNEVENT_16.9,25.48247,56.36955,NPNT-Lot,
361,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,12.5,15.5,0.039,UAE18---_ENNEVENT_12.5,25.48247,56.36955,NPNT-Lot,
362,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,16.7,20.8,0.096,UAE18---_ENNEVENT_16.7,25.48247,56.36955,NPNT-Lot,
363,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,18.7,22.3,0.118,UAE18---_ENNEVENT_18.7,25.48247,56.36955,NPNT-Lot,
364,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,18.5,22.1,0.113,UAE18---_ENNEVENT_18.5,25.48247,56.36955,NPNT-Lot,
365,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,15.9,18.6,0.071,UAE18---_ENNEVENT_15.9,25.48247,56.36955,NPNT-Lot,
366,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,21.4,26.1,0.262,UAE18---_HETEVULG_21.4,25.48247,56.36955,NPNT-Lot,mottled dorsal
367,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,14.8,18.1,0.071,UAE18---_HETEVULG_14.8,25.48247,56.36955,NPNT-Lot,mottled dorsal
368,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,17.1,21.2,0.117,UAE18---_HETEVULG_17.1,25.48247,56.36955,NPNT-Lot,mottled dorsal
369,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,18.4,22.5,0.139,UAE18---_HETEVULG_18.4,25.48247,56.36955,NPNT-Lot,mottled dorsal
370,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,13.3,16.4,0.054,UAE18---_HETEVULG_13.3,25.48247,56.36955,NPNT-Lot,mottled dorsal
371,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,16.4,20.6,0.104,UAE18---_HETEVULG_16.4,25.48247,56.36955,NPNT-Lot,mottled dorsal
372,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,16.7,20.4,0.121,UAE18---_HETEVULG_16.7,25.48247,56.36955,NPNT-Lot,mottled dorsal
373,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,21.8,26.9,0.251,UAE18---_HETEVULG_21.8,25.48247,56.36955,NPNT-Lot,mottled dorsal
374,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,18.6,22.3,0.16,UAE18---_HETEVULG_18.6,25.48247,56.36955,NPNT-Lot,mottled dorsal
375,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,19.2,23.6,0.179,UAE18---_HETEVULG_19.2,25.48247,56.36955,NPNT-Lot,mottled dorsal
376,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,15.9,19.4,0.093,UAE18---_HETEVULG_15.9,25.48247,56.36955,NPNT-Lot,mottled dorsal
377,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,19.5,24,0.174,UAE18---_HETEVULG_19.5,25.48247,56.36955,NPNT-Lot,mottled dorsal
378,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,14.2,17.6,0.073,UAE18---_HETEVULG_14.2,25.48247,56.36955,NPNT-Lot,mottled dorsal
379,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,16.9,21.1,0.138,UAE18---_HETEVULG_16.9,25.48247,56.36955,NPNT-Lot,mottled dorsal
380,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,19.6,24,0.194,UAE18---_HETEVULG_19.6,25.48247,56.36955,NPNT-Lot,mottled dorsal
381,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,16.9,20.6,0.111,UAE18---_HETEVULG_16.9,25.48247,56.36955,NPNT-Lot,mottled dorsal
382,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,15.9,19.1,0.097,UAE18---_HETEVULG_15.9,25.48247,56.36955,NPNT-Lot,mottled dorsal
383,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,18.4,22.5,0.169,UAE18---_HETEVULG_18.4,25.48247,56.36955,NPNT-Lot,mottled dorsal
384,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,15.7,19.7,0.09,UAE18---_HETEVULG_15.7,25.48247,56.36955,NPNT-Lot,mottled dorsal
385,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,14.6,18.3,0.073,UAE18---_HETEVULG_14.6,25.48247,56.36955,NPNT-Lot,mottled dorsal
386,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,13.4,16.3,0.058,UAE18---_HETEVULG_13.4,25.48247,56.36955,NPNT-Lot,mottled dorsal
387,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,21.1,24.9,0.217,UAE18---_HETEVULG_21.1,25.48247,56.36955,NPNT-Lot,mottled dorsal
388,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,19.6,23.8,0.223,UAE18---_HETEVULG_19.6,25.48247,56.36955,NPNT-Lot,mottled dorsal
389,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,14.7,18.1,0.09,UAE18---_HETEVULG_14.7,25.48247,56.36955,NPNT-Lot,mottled dorsal
390,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,13.4,17.1,0.075,UAE18---_HETEVULG_13.4,25.48247,56.36955,NPNT-Lot,mottled dorsal
391,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,17.1,22.3,0.158,UAE18---_HETEVULG_17.1,25.48247,56.36955,NPNT-Lot,mottled dorsal
392,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,16.4,19.8,0.106,UAE18---_HETEVULG_16.4,25.48247,56.36955,NPNT-Lot,mottled dorsal
393,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,22.9,28.3,0.324,UAE18---_HETEVULG_22.9,25.48247,56.36955,NPNT-Lot,mottled dorsal
394,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,22.9,28.3,0.319,UAE18---_HETEVULG_22.9,25.48247,56.36955,NPNT-Lot,mottled dorsal
395,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,18,21.8,0.152,UAE18---_HETEVULG_18,25.48247,56.36955,NPNT-Lot,mottled dorsal
396,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,21.7,26.6,0.234,UAE18---_HETEVULG_21.7,25.48247,56.36955,NPNT-Lot,mottled dorsal
397,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,18.1,22,0.135,UAE18---_HETEVULG_18.1,25.48247,56.36955,NPNT-Lot,mottled dorsal
398,Fujairah,SharmRockI,B10,Rockyreef,2/5/18,9.2,275,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,20.5,24.6,0.208,UAE18---_HETEVULG_20.5,25.48247,56.36955,NPNT-Lot,mottled dorsal
